px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.7131	2.59271	5.09098	0.444626	0.28588	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.833271
13.9328	2.70822	5.07482	0.463479	0.293158	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.205666
14.1606	2.86009	5.09619	0.494485	0.31297	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.54876
14.4093	2.96711	5.14839	0.493691	0.285588	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.59699
14.6176	3.03928	5.10024	0.488235	0.262301	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.27387
14.8473	3.19053	5.14919	0.510112	0.268012	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.85863
15.0533	3.38222	5.16996	0.554893	0.306214	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.10017
15.2641	3.54962	5.16482	0.587487	0.331231	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.47247
15.4767	3.73554	5.19166	0.621658	0.35222	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.658921
15.6888	3.87007	5.18165	0.630995	0.342273	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.979118
15.9109	4.01191	5.18727	0.639786	0.331975	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.251438
16.1064	4.17836	5.15533	0.66919	0.356079	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.76418
16.3039	4.37153	5.17722	0.700264	0.371694	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.373003
16.5139	4.53504	5.1915	0.712363	0.361902	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.666967
16.6931	4.70311	5.17438	0.732934	0.365344	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.457845
16.8451	4.90356	5.10882	0.784467	0.424899	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.64108
17.0101	5.12589	5.13199	0.824121	0.446551	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.492175
17.1792	5.30103	5.10546	0.845214	0.450175	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.80743
17.3404	5.48042	5.08806	0.864593	0.446938	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.244809
17.4952	5.65633	5.04867	0.88739	0.454958	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.38016
17.6918	5.77806	5.00565	0.873208	0.412135	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.11362
17.8326	5.9814	4.97865	0.910192	0.442622	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.19909
18.0091	6.1664	4.9854	0.920198	0.427961	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.745166
18.1568	6.37669	4.99474	0.945677	0.433139	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.630503
18.2794	6.60922	5.01001	0.982874	0.451213	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.422493
18.4094	6.82619	5.00713	1.01234	0.463018	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.238831
18.5602	6.96322	4.93652	1.00599	0.430106	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.52213
18.7087	7.16989	4.95858	1.01488	0.407278	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.594717
18.9085	7.30587	4.91813	0.990013	0.355131	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.2929
18.9939	7.5167	4.8654	1.03559	0.403494	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.25753
19.086	7.77232	4.89965	1.0784	0.429371	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.935055
19.2058	7.98166	4.89808	1.09392	0.420194	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.313949
